,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,id,fgk_equipe
27,2022-07-30,16:30,Série A,Rodada da semana 20,sáb,Visitante,V,2,1,2f335e17,1.4,1.2,53,40.912,Gustavo Gómez,4-2-3-1,Anderson Daronco,https://fbref.com/pt/partidas/c2b7baa2/Ceara-Palmeiras-2022Julho30-Serie-A,,c2b7baa2,abdce579
28,2022-08-03,21:30,Libertadores,Quartas de final,qua,Visitante,E,2,2,422bb734,2.2,2.2,52,,Gustavo Gómez,4-2-3-1,Facundo Tello,https://fbref.com/pt/partidas/5f72adbf/Atletico-Mineiro-Palmeiras-2022Agosto3-Copa-Libertadores,Jogo de ida/volta 1 de 2,5f72adbf,abdce579
29,2022-08-07,16:00,Série A,Rodada da semana 21,dom,Em casa,V,3,0,78c617cc,2.5,0.6,56,38.801,Gustavo Gómez,4-2-3-1,Jean Pierre Goncalves Lima,https://fbref.com/pt/partidas/14bdc0b5/Palmeiras-Goias-2022Agosto7-Serie-A,,14bdc0b5,abdce579
30,2022-08-10,21:30,Libertadores,Quartas de final,qua,Em casa,E,0 (6),0 (5),422bb734,0.6,0.5,33,,Gustavo Gómez,4-2-3-1,Wilmar Roldán,https://fbref.com/pt/partidas/47126b45/Palmeiras-Atletico-Mineiro-2022Agosto10-Copa-Libertadores,Jogo de ida/volta 2 de 2; Palmeiras venceu; Palmeiras venceu por,47126b45,abdce579
31,2022-08-13,19:00,Série A,Rodada da semana 22,sáb,Visitante,V,1,0,bf4acd28,0.4,0.4,43,44.966,Gustavo Gómez,4-2-3-1,Raphael Claus,https://fbref.com/pt/partidas/2efd2b8e/Corinthians-Palmeiras-2022Agosto13-Serie-A,,2efd2b8e,abdce579
32,2022-08-21,16:00,Série A,Rodada da semana 23,dom,Em casa,E,1,1,639950ae,1.5,0.9,57,40.485,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,https://fbref.com/pt/partidas/2798ed6f/Palmeiras-Flamengo-2022Agosto21-Serie-A,,2798ed6f,abdce579
33,2022-08-27,19:00,Série A,Rodada da semana 24,sáb,Visitante,E,1,1,84d9701c,0.6,1.3,39,45.084,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/106ff936/Fluminense-Palmeiras-2022Agosto27-Serie-A,,106ff936,abdce579
34,2022-08-30,21:30,Libertadores,Semifinais,ter,Visitante,D,0,1,2091c619,0.8,1.0,64,38.963,Gustavo Gómez,4-2-3-1,Roberto Tobar,https://fbref.com/pt/partidas/b3bdba3a/Atletico-Paranaense-Palmeiras-2022Agosto30-Copa-Libertadores,Jogo de ida/volta 1 de 2,b3bdba3a,abdce579
35,2022-09-03,19:00,Série A,Rodada da semana 25,sáb,Visitante,E,2,2,f98930d1,1.2,1.4,60,9.685,Luan Garcia,4-2-3-1,Raphael Claus,https://fbref.com/pt/partidas/d8ccaf41/Bragantino-Palmeiras-2022Setembro3-Serie-A,,d8ccaf41,abdce579
36,2022-09-06,21:30,Libertadores,Semifinais,ter,Em casa,E,2,2,2091c619,1.3,1.2,49,,Gustavo Gómez,4-2-3-1,Esteban Ostojich,https://fbref.com/pt/partidas/0fb977af/Palmeiras-Atletico-Paranaense-2022Setembro6-Copa-Libertadores,Jogo de ida/volta 2 de 2; Atl Paranaense venceu,0fb977af,abdce579
37,2022-09-10,21:00,Série A,Rodada da semana 26,sáb,Em casa,V,2,1,d081b697,1.7,0.7,66,39.337,Gustavo Gómez,4-2-3-1,Jefferson Ferreira de Moraes,https://fbref.com/pt/partidas/9f274e84/Palmeiras-Juventude-2022Setembro10-Serie-A,,9f274e84,abdce579
38,2022-09-18,18:30,Série A,Rodada da semana 27,dom,Em casa,V,1,0,712c528f,1.0,0.6,54,40.337,Gustavo Gómez,4-2-3-1,Wilton Sampaio,https://fbref.com/pt/partidas/a39a054a/Palmeiras-Santos-2022Setembro18-Serie-A,,a39a054a,abdce579
39,2022-09-28,21:45,Série A,Rodada da semana 28,qua,Visitante,V,1,0,422bb734,1.3,1.2,33,28.644,Marcos Rocha,3-4-1-2,Marcelo de Lima Henrique,https://fbref.com/pt/partidas/36f3edc3/Atletico-Mineiro-Palmeiras-2022Setembro28-Serie-A,,36f3edc3,abdce579
40,2022-10-03,20:00,Série A,Rodada da semana 29,seg,Visitante,V,3,1,d9fdd9d9,2.5,0.9,52,16.545,Gustavo Gómez,4-2-3-1,Wilton Sampaio,https://fbref.com/pt/partidas/c42e7360/Botafogo-RJ-Palmeiras-2022Outubro3-Serie-A,,c42e7360,abdce579
41,2022-10-06,19:00,Série A,Rodada da semana 30,qui,Em casa,V,4,0,d680d257,2.4,0.4,56,39.877,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/f2097db0/Palmeiras-Coritiba-2022Outubro6-Serie-A,,f2097db0,abdce579
42,2022-10-10,18:30,Série A,Rodada da semana 31,seg,Visitante,E,1,1,32d508ca,1.1,0.6,56,12.089,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,https://fbref.com/pt/partidas/cde5f911/Atletico-Goianiense-Palmeiras-2022Outubro10-Serie-A,,cde5f911,abdce579
43,2022-10-16,16:00,Série A,Rodada da semana 32,dom,Em casa,E,0,0,5f232eb1,2.0,0.4,56,40.795,Gustavo Gómez,4-2-3-1,Flavio Rodrigues De Souza,https://fbref.com/pt/partidas/e215127f/Palmeiras-Sao-Paulo-2022Outubro16-Serie-A,,e215127f,abdce579
44,2022-10-22,21:00,Série A,Rodada da semana 33,sáb,Em casa,V,3,0,f205258a,3.9,0.8,50,,Gustavo Gómez,4-2-3-1,Bruno Arleu de Araujo,https://fbref.com/pt/partidas/d16344ec/Palmeiras-Avai-2022Outubro22-Serie-A,,d16344ec,abdce579
45,2022-10-25,21:45,Série A,Rodada da semana 34,ter,Visitante,V,3,1,2091c619,2.2,0.2,71,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/c66640bf/Atletico-Paranaense-Palmeiras-2022Outubro25-Serie-A,,c66640bf,abdce579
46,2022-11-02,21:30,Série A,Rodada da semana 35,qua,Em casa,V,4,0,a9d0ab0e,2.2,0.5,55,,Gustavo Gómez,4-2-3-1,Wilton Sampaio,https://fbref.com/pt/partidas/992de608/Palmeiras-Fortaleza-2022Novembro2-Serie-A,,992de608,abdce579
47,2022-11-06,17:30,Série A,Rodada da semana 36,dom,Visitante,E,1,1,f0e6fb14,2.6,1.1,66,,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/9c1e4510/Cuiaba-Palmeiras-2022Novembro6-Serie-A,,9c1e4510,abdce579
48,2022-11-09,21:30,Série A,Rodada da semana 37,qua,Em casa,V,2,1,1f68d780,2.6,0.3,57,,Gustavo Gómez,4-2-3-1,Savio Pereira,https://fbref.com/pt/partidas/596aa98d/Palmeiras-America-MG-2022Novembro9-Serie-A,,596aa98d,abdce579
49,2022-11-13,16:00,Série A,Rodada da semana 38,dom,Visitante,D,0,3,6f7e1f03,1.3,1.4,52,,Luan Garcia,4-2-3-1,Bruno Arleu de Araujo,https://fbref.com/pt/partidas/67acaa53/Internacional-Palmeiras-2022Novembro13-Serie-A,,67acaa53,abdce579
50,2022-04-06,19:30,Sudamericana,Estágio de grupos,qua,Visitante,E,2,2,f7dac7a4,,,46,,Taison,4-3-3,Andrés Merlos,https://fbref.com/pt/partidas/8299b04d/Club-9-de-Octubre-Internacional-2022Abril6-Copa-Sudamericana,,8299b04d,6f7e1f03
51,2022-04-10,16:00,Série A,Rodada da semana 1,dom,Visitante,D,0,2,422bb734,0.6,1.9,48,37.531,Taison,4-2-3-1,Bruno Arleu de Araujo,https://fbref.com/pt/partidas/53471359/Atletico-Mineiro-Internacional-2022Abril10-Serie-A,,53471359,6f7e1f03
52,2022-04-14,21:30,Sudamericana,Estágio de grupos,qui,Em casa,E,1,1,257cf097,,,80,,Taison,4-3-3,Gery Vargas,https://fbref.com/pt/partidas/407e07ae/Internacional-Guairena-FC-2022Abril14-Copa-Sudamericana,,407e07ae,6f7e1f03
53,2022-04-17,18:00,Série A,Rodada da semana 2,dom,Em casa,V,2,1,a9d0ab0e,1.7,0.8,52,31.783,Andrés D'Alessandro,4-3-3,Flavio Rodrigues De Souza,https://fbref.com/pt/partidas/39789423/Internacional-Fortaleza-2022Abril17-Serie-A,,39789423,6f7e1f03
54,2022-04-23,19:00,Série A,Rodada da semana 3,sáb,Visitante,V,1,0,84d9701c,0.8,0.5,43,16.176,Edenílson,4-3-3,Braulio da Silva Machado,https://fbref.com/pt/partidas/8a2778e4/Fluminense-Internacional-2022Abril23-Serie-A,,8a2778e4,6f7e1f03
55,2022-04-26,19:30,Sudamericana,Estágio de grupos,ter,Visitante,V,1,0,70068101,,,52,3.932,Edenílson,4-3-3,Nicolás Lamolina,https://fbref.com/pt/partidas/8f07c6b0/Independiente-Internacional-2022Abril26-Copa-Sudamericana,,8f07c6b0,6f7e1f03
56,2022-05-01,19:00,Série A,Rodada da semana 4,dom,Em casa,E,0,0,f205258a,1.3,0.7,60,20.808,Edenílson,4-3-3,Wilton Sampaio,https://fbref.com/pt/partidas/ce0d4b19/Internacional-Avai-2022Maio1-Serie-A,,ce0d4b19,6f7e1f03
57,2022-05-05,18:15,Sudamericana,Estágio de grupos,qui,Visitante,E,1,1,257cf097,,,76,,Edenílson,4-3-3,Cristián Garay,https://fbref.com/pt/partidas/11d54347/Guairena-FC-Internacional-2022Maio5-Copa-Sudamericana,,11d54347,6f7e1f03
58,2022-05-08,19:00,Série A,Rodada da semana 5,dom,Visitante,E,1,1,d081b697,0.7,0.8,43,7.341,Edenílson,4-3-3,Bruno Arleu de Araujo,https://fbref.com/pt/partidas/d2e2aafe/Juventude-Internacional-2022Maio8-Serie-A,,d2e2aafe,6f7e1f03
59,2022-05-14,19:00,Série A,Rodada da semana 6,sáb,Em casa,E,2,2,bf4acd28,2.1,1.7,48,18.482,Edenílson,4-4-1-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/d7dc2b5f/Internacional-Corinthians-2022Maio14-Serie-A,,d7dc2b5f,6f7e1f03
60,2022-05-17,19:15,Sudamericana,Estágio de grupos,ter,Em casa,V,2,0,70068101,,,51,,Edenílson,4-4-2,Facundo Tello,https://fbref.com/pt/partidas/f3698fc6/Internacional-Independiente-2022Maio17-Copa-Sudamericana,,f3698fc6,6f7e1f03
61,2022-05-21,20:00,Série A,Rodada da semana 7,sáb,Visitante,E,1,1,f0e6fb14,1.4,0.9,57,7.968,Edenílson,4-4-1-1,Ramon Abatti Abel,https://fbref.com/pt/partidas/5cbfbe3e/Cuiaba-Internacional-2022Maio21-Serie-A,,5cbfbe3e,6f7e1f03
62,2022-05-24,21:30,Sudamericana,Estágio de grupos,ter,Em casa,V,5,1,f7dac7a4,,,69,,Edenílson,4-4-2,Yael Falcón,https://fbref.com/pt/partidas/5c8fd8e7/Internacional-Club-9-de-Octubre-2022Maio24-Copa-Sudamericana,,5c8fd8e7,6f7e1f03
63,2022-05-30,20:00,Série A,Rodada da semana 8,seg,Em casa,E,1,1,32d508ca,0.7,2.1,45,11.050,Edenílson,4-4-1-1,Marcelo de Lima Henrique,https://fbref.com/pt/partidas/0621f710/Internacional-Atletico-Goianiense-2022Maio30-Serie-A,,0621f710,6f7e1f03
64,2022-06-05,19:00,Série A,Rodada da semana 9,dom,Visitante,V,2,0,f98930d1,1.5,0.6,51,3.062,Edenílson,4-4-1-1,Wagner do Nascimento Magalhães,https://fbref.com/pt/partidas/b3effba3/Bragantino-Internacional-2022Junho5-Serie-A,,b3effba3,6f7e1f03
65,2022-06-08,21:30,Série A,Rodada da semana 10,qua,Visitante,E,1,1,712c528f,1.0,3.9,49,8.845,Edenílson,4-2-3-1,Ramon Abatti Abel,https://fbref.com/pt/partidas/8e04e63c/Santos-Internacional-2022Junho8-Serie-A,,8e04e63c,6f7e1f03
66,2022-06-11,21:00,Série A,Rodada da semana 11,sáb,Em casa,V,3,1,639950ae,1.9,1.2,32,22.392,Gabriel,4-4-1-1,Braulio da Silva Machado,https://fbref.com/pt/partidas/b51e9792/Internacional-Flamengo-2022Junho11-Serie-A,,b51e9792,6f7e1f03
